orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_M4.MAA000526.3_9_M.1.1	Smart-seq2	17369	618	Epi_AT2
lung_SmartSeq2_Smart-seq2_N12.MAA000526.3_9_M.1.1	Smart-seq2	1179866	4490	FB_adventitial
lung_SmartSeq2_Smart-seq2_P1.MAA000526.3_9_M.1.1	Smart-seq2	176279	1935	Endo_venous
lung_SmartSeq2_Smart-seq2_E6.MAA000526.3_9_M.1.1	Smart-seq2	701021	1761	FB_alveolar
lung_SmartSeq2_Smart-seq2_A3.MAA000526.3_9_M.1.1	Smart-seq2	889315	2013	Epi_AT2
lung_SmartSeq2_Smart-seq2_B8.MAA000526.3_9_M.1.1	Smart-seq2	499680	2010	Endo_arterial
lung_SmartSeq2_Smart-seq2_C22.MAA000526.3_9_M.1.1	Smart-seq2	453727	1439	Bcell
lung_SmartSeq2_Smart-seq2_E7.MAA000526.3_9_M.1.1	Smart-seq2	1492782	2225	Endo_venous
lung_SmartSeq2_Smart-seq2_G2.MAA000526.3_9_M.1.1	Smart-seq2	653624	2256	Endo_capillary
lung_SmartSeq2_Smart-seq2_H10.MAA000526.3_9_M.1.1	Smart-seq2	2067269	3337	FB_adventitial
lung_SmartSeq2_Smart-seq2_H9.MAA000526.3_9_M.1.1	Smart-seq2	471805	2390	Endo_LEC
lung_SmartSeq2_Smart-seq2_I21.MAA000526.3_9_M.1.1	Smart-seq2	436231	2063	NK
lung_SmartSeq2_Smart-seq2_M5.MAA000526.3_9_M.1.1	Smart-seq2	1101468	3363	Epi_AT2
lung_SmartSeq2_Smart-seq2_N13.MAA000526.3_9_M.1.1	Smart-seq2	790366	3289	FB_adventitial
lung_SmartSeq2_Smart-seq2_P2.MAA000526.3_9_M.1.1	Smart-seq2	52308	517	Endo_capillary
lung_SmartSeq2_Smart-seq2_A4.MAA000526.3_9_M.1.1	Smart-seq2	1377411	2933	Epi_AT2
lung_SmartSeq2_Smart-seq2_B9.MAA000526.3_9_M.1.1	Smart-seq2	948938	2612	Endo_LEC
lung_SmartSeq2_Smart-seq2_D1.MAA000526.3_9_M.1.1	Smart-seq2	1342009	3841	FB_adventitial
lung_SmartSeq2_Smart-seq2_E8.MAA000526.3_9_M.1.1	Smart-seq2	125910	864	Endo_capillary
